week,title,channel,url,publication_date,duration,difficulty,timestamps,learn,skip,exercise,status,checked_date
03,Three Point Lighting - Blender 2.80 Fundamentals,Blender,https://www.youtube.com/watch?v=RDbrOpnIY7Q,2019-07-18,6:42,Beginner,0:00-6:43,"Read key, fill, and rim as separate jobs; observe shadow direction.",Nothing; the lesson is concise.,Rebuild the setup with one neutral object and label each light's job.,200,2026-07-10
03,Fundamentals of Lighting in Blender,Blender Guru,https://www.youtube.com/watch?v=ENnEYoUpFfU,2026-05-09,43:25,Beginner/Intermediate,0:00-12:00; 20:00-36:00,"Shape light deliberately; control contrast, size, distance, and reflections.",Skip workflow digressions not tied to the Week 3 object.,"Make hard-sun, broad-soft, and narrow-strip versions of one object.",200,2026-07-10
03,The Only Product Lighting Video You'll Ever Need (Blender Tutorial),The Blenderender,https://www.youtube.com/watch?v=yPekIQMoKYM,2024-05-25,16:40,Intermediate,0:00-16:41,"Treat product lighting as reflection design, not exposure correction.",Do not copy settings; copy the decision sequence.,Photograph or render one glossy object with two white cards and one black card.,200,2026-07-10
04,BLENDER BASICS 20 - Materials and Lighting,CG Cookie – Learn Blender,https://www.youtube.com/watch?v=iIgHZm2-eh4,2023-12-20,13:17,Beginner,0:00-13:17,Connect Principled material controls to what the light reveals.,Skip unrelated interface shortcuts after the material is working.,"Build matte plaster, lacquer, chrome, and glass spheres at real scale.",200,2026-07-10
02,Discover Masking in Camera Raw | Adobe Photoshop,Adobe Photoshop,https://www.youtube.com/watch?v=XZcp9L73rZo,2022-10-18,29:40,Beginner/Intermediate,0:00-12:00; 18:00-29:41,Use Camera Raw masks for local tonal control without flattening the source.,"Skip examples that do not affect product, skin, or background separation.","Create separate subject, garment, background, and highlight masks on one RAW file.",200,2026-07-10
05,Match Color with 3 Major Clicks in Photoshop!,PiXimperfect,https://www.youtube.com/watch?v=SoWefQNcIyY,2019-02-15,11:57,Intermediate,0:00-11:57,Match color relationships with measurable corrections instead of visual guessing.,Do not treat a one-click result as final; inspect skin and neutrals.,Match a neutral product plate to a chosen master-study background.,200,2026-07-10
05,Master Shadows & Lighting in Compositing with Photoshop!,PiXimperfect,https://www.youtube.com/watch?v=Da4axkDKzxQ,2021-07-06,36:02,Intermediate,0:00-14:00; 20:00-34:00,"Build contact, cast, and ambient shadows as distinct layers.",Skip theatrical effects that do not improve physical integration.,Composite one simple CGI object and build three shadow layers from scratch.,200,2026-07-10
06,DaVinci Resolve 17 Color Training - Color Management,Blackmagic Design,https://www.youtube.com/watch?v=CTAzjAReZvs,2022-01-06,31:30,Intermediate,0:00-12:00; 18:00-31:30,Understand project color management and why input/output transforms matter.,Skip camera formats you do not use; retain the transform logic.,"Document the input, timeline, and output color spaces for one campaign test.",200,2026-07-10
06,DaVinci Resolve 17 Color Training - Introduction to Color,Blackmagic Design,https://www.youtube.com/watch?v=OrEcXbET1Y4,2022-01-06,1:33:50,Beginner/Intermediate,0:00-25:00; 52:00-1:18:00,"Read scopes, set neutral balance, and build a disciplined node order.",Skip panel-hardware sections if working with mouse and keyboard.,Balance three stills or clips before adding any creative look.,200,2026-07-10
06,How color nodes work in DaVinci Resolve [Beginners Guide],Casey Faris,https://www.youtube.com/watch?v=8kJwFcsa6k4,2025-11-11,14:21,Beginner,0:00-14:22,"Use serial and parallel nodes as explicit decisions, not decoration.",Nothing; the lesson is directly relevant.,Build a six-node VORG still grade and label the job of each node.,200,2026-07-10
06,How to use resolve SCOPES - In-depth with a Pro Colourist,Darren Mostyn,https://www.youtube.com/watch?v=IwqucXqb2zY,2020-07-19,11:44,Intermediate,0:00-11:44,"Use waveform, parade, vectorscope, and histogram to confirm visual judgments.",Do not chase legal broadcast levels for a web-only exercise; learn the readings.,Save scope screenshots before and after balancing a skin/product frame.,200,2026-07-10
07,DaVinci Resolve 17 Fusion Training - Introduction to Fusion,Blackmagic Design,https://www.youtube.com/watch?v=mJf1-Ilgis8,2022-01-06,58:24,Beginner,0:00-18:00; 30:00-48:00,Understand when Fusion's node compositor is useful for motion assets.,Skip motion-graphics branches not needed for the capstone teaser.,Build a simple tracked mask and one restrained motion composite.,200,2026-07-10
07,DaVinci Resolve 17 Fusion Training - Basic Compositing,Blackmagic Design,https://www.youtube.com/watch?v=uhPnAdZNkIA,2022-01-06,59:03,Intermediate,0:00-22:00; 38:00-55:00,"Apply masks, transforms, merge order, and edge integration in Fusion.",Skip techniques already completed more efficiently in the still Photoshop exercise.,Recreate one still composite as a 6-second moving shot only if motion adds value.,200,2026-07-10
