brand,campaign_or_product,source_page_url,access_date,image_category,reason_included,visual_principles,local_reference_file,usage_note
Jacquemus,Le Bonheur cover,https://www.jacquemus.com/en_us/%22le-bonheur%22/lebonheur.html,2026-07-10,show cover,Immediate scale and environmental read.,sunlight; negative space; landscape; strong silhouette,references/jacquemus/official/0-JACQUEMUS-LEBONHEUR-COVER-SHOW-2.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Bonheur rack,https://www.jacquemus.com/en_us/%22le-bonheur%22/lebonheur.html,2026-07-10,set detail,Shows restraint and physical texture without a conventional hero.,repetition; textile movement; warm natural light,references/jacquemus/official/0-JACQUEMUS-LEBONHEUR-RACK.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Bonheur white/red look,https://www.jacquemus.com/en_us/%22le-bonheur%22/lebonheur.html,2026-07-10,model hero,Primary hard-sun composition master study.,centrality; hard shadow; bold red; sea/stone separation,references/jacquemus/official/0-JACQUEMUS-LEBONHEUR-COVER-WOMEN-WHITEREDLOOK.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Bonheur boat,https://www.jacquemus.com/en_us/%22le-bonheur%22/lebonheur.html,2026-07-10,environmental,Demonstrates scale and a simple surreal read grounded in place.,wide scale; water; negative space; high-angle camera,references/jacquemus/official/0-JACQUEMUS-LEBOHNEUR-BOAT.jpg,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Bonheur look 01,https://www.jacquemus.com/en_us/%22le-bonheur%22/lebonheur.html,2026-07-10,model,Useful for silhouette and clothing-truth analysis.,frontal pose; controlled background; color separation,references/jacquemus/official/0-JACQUEMUS-LE-BONHEUR-FRONT-LOOK-01.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Bonheur look 02,https://www.jacquemus.com/en_us/%22le-bonheur%22/lebonheur.html,2026-07-10,model,Second pose/crop comparison within one visual world.,series consistency; horizon; garment shape,references/jacquemus/official/0-JACQUEMUS-LE-BONHEUR-FRONT-LOOK-02.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Bonheur look 03,https://www.jacquemus.com/en_us/%22le-bonheur%22/lebonheur.html,2026-07-10,model,Tests how a single campaign preserves hierarchy across garments.,palette discipline; natural skin; clean outline,references/jacquemus/official/0-JACQUEMUS-LE-BONHEUR-FRONT-LOOK-03.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Bonheur key look,https://www.jacquemus.com/en_us/%22le-bonheur%22/lebonheur.html,2026-07-10,model hero,Adds a second hero-level comparison.,pose; scale; sunlight; environmental depth,references/jacquemus/official/0-JACQUEMUS-LE-BONHEUR-KEY-LOOK-4.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Palmier cover,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,campaign cover,Broadens the campaign reference set beyond one location.,editorial crop; architecture; tonal control,references/jacquemus/official/0-JACQUEMUS-LEPALMIER-COVER-VIDEOLOOK.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Paysan poster,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,show poster,Shows instant concept communication at thumbnail size.,surreal prop; immediate idea; shape language,references/jacquemus/official/0-JACQUEMUS-POSTER-SHOWLEPAYSAN_2.avif,Reduced-resolution private educational reference; do not republish or use commercially.
