campaign_id,product_scope,supplier_name,contact_name,country,platform,company_url,product_url,public_evidence,company_type_claim,custom_moq_claim,message_variant,sent_at_edt,send_proof,response_status,response_summary,fit_score,decision,followup_sent_at_edt,notes
D001,denim,"Guangzhou Yijia Manufacturing Co.,ltd","Mia Mia",China,Alibaba,https://gzike.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Side-Laced-Jeans-Classic-Black-Men_1601439046457.html,"Directory lists men's and women's jeans; black denim offer; profile review link",manufacturer claim,,denim,2026-08-04 22:16,"Alibaba success receipt MC1IDX1euLMtTiw5qcXVgPzl1LVin4L4cDDGlsme-Pb9VsevU2fEKsPJdTXBEbjj8eozSO6",awaiting,,0,evidence_pending,,No attachment or commitment
D002,denim,"Guangzhou Tsra Garment Co., Ltd.","Tsra Yan",China,Alibaba,https://tsra.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Women-s-Breathable-Elastic-Low-Rise_1601392522458.html,"Profile claims manufacturer/trader; 201-300 staff; Guangzhou factory address; jeans flow and OEM/design capability",manufacturer_and_trader claim,,denim,2026-08-04 22:21,"Alibaba success receipt MC1IDX152Q_1uxqZvRW0g4Ge_n_h1Gq2-rjJVTHQrWHmA9w4xKNl7wUrNRTY-N-dA-8MWyx",awaiting,,0,evidence_pending,,No attachment or commitment; public claims require reconciliation
D003,denim,"Foshan Hantingyun Clothing Co., Ltd.",,China,Alibaba,https://hantingyun.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/2025-New-Women-s-Jeans-Are_1601439982535.html,"Directory lists women's and men's jeans",supplier claim,,denim,2026-08-04 22:22,"Controlled send loop advanced only after Alibaba feedbackInquirySucess URL; receipt text lost when automation cell timed out",awaiting,,0,evidence_pending,,No attachment or commitment
D004,denim,"Guangzhou Purui Garment Accessories Co., Ltd.",,China,Alibaba,https://jbrave.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Low-MOQ-Manufacturers-Wholesale-Men-s_1600213870034.html,"Denim supplier directory and men's jeans offer",supplier claim,,denim,2026-08-04 22:23,"Controlled send loop advanced only after Alibaba feedbackInquirySucess URL; receipt text lost when automation cell timed out",awaiting,,0,evidence_pending,,No attachment or commitment
D005,denim,"Zhongshan Zuoyu Garment Co., Ltd.",,China,Alibaba,https://zuoyufashion.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Factory-Direct-OEM-ODM-Women-s_1600615163869.html,"Denim supplier directory and factory-direct OEM/ODM offer",supplier claim,,denim,2026-08-04 22:23,"Controlled send loop advanced only after Alibaba feedbackInquirySucess URL; receipt text lost when automation cell timed out",awaiting,,0,evidence_pending,,No attachment or commitment
D006,denim,"Jiangmen Zhendi Garment Co., Ltd.",,China,Alibaba,https://zhendi.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Manufacturer-Direct-Women-Cotton-Denim-Pant_1601396411089.html,"Denim supplier directory and manufacturer-direct cotton denim offer",manufacturer claim,,denim,2026-08-04 22:24,"Controlled send loop advanced only after Alibaba feedbackInquirySucess URL; receipt text lost when automation cell timed out",awaiting,,0,evidence_pending,,No attachment or commitment
D007,denim,"Dongguan Yuehao Clothing Co., Ltd.",,China,Alibaba,https://yuehao01.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Jeans-Homme-Manufacturer-Custom-Baggy-Denim-1601392744496.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1XFJQGc3SFdWKfHBViGgOPxdjdU17NcdfdExmOIUl9JPiNqOX4i2PeSAZYlkgI-qp,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D008,denim,Guangzhou Sense Garment Co. Ltd.,,China,Alibaba,https://sensegarment.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/SENSE-Customization-Wholesale-High-Painted-Distressing-1600896084347.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1hXDaBQOyOAbUTlfFpm6cmwvO0Q4Itsd8li7V2kv3LpfltyXUNgORV3EC0zV6NUtu,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D009,denim,"Youmi Clothing (Dongguan) Co., Ltd.",,China,Alibaba,https://yomii.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/YOUMI-Denim-Manufacturer-Men-s-Plain-1601718795409.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1XrwQKKD36sDryhhUYi85s7jpeYGTzn2gA2-jvkArvVp6Jx9BdoetPAt5Xku9Eqfi,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D010,denim,"Dongguan Bentura Clothing Co., Ltd.",,China,Alibaba,https://bentura.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/BENTURA-Designer-Vintage-Distressed-Faded-Straight-1601752097486.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX19rdXYqpwmyiL1IGdJ7zUt-IOgDxS8uw7WW5ck7PW0__YjNv9e6A2AiYqMXe7J50P,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D011,denim,"Dongguan Langyan Trading Co., Ltd.",,China,Alibaba,https://langyanfs.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Clothing-Manufacturers-Heavyweight-Japanese-Selvedge-Denim-1601778694340.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1YqQgHnmz61HX4bH-Bv8wIgF9pUzr8jbXdHgL5ZWonZPw7PAnQQUybmskZY17vrR9,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D012,denim,"Dongguan Yifushan Clothing Co., Ltd.",,China,Alibaba,https://dgsyfs.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Loose-Men-s-Denim-Pants-1601524267335.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1l5GWBCrLdE9xZ4-bgV1uQsv-KRuQb2KF6v40y9FuFm-WiZirbXgm9NOGp6KZcgxe,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D013,denim,"Guangzhou Yuce Clothing Co., Ltd.",,China,Alibaba,https://yuce888.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Black-Waxed-Wide-Leg-Y2k-Baggy-1601633649088.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1v0tYcOZto1MX7AoHI8BDR5i94c7NCgWB_du0kLB-Hr0TydiqiTQHBEDedzjlI5Dn,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D014,denim,"Dongguan Shengfu Textile Co., Ltd.",,China,Alibaba,https://xjfashion.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Women-s-Jeans-Manufacturer-Denim-1601729033603.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1AI9OQ5cvyIZ_6cktZWDcnTlCXi6K7tFzULAhNcNLLo_tKWiWgORL6rAeeTiVtnva,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D015,denim,"Dongguan Xuchang Clothing Co., Ltd.",,China,Alibaba,https://xuchanggarment.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Top-Quality-Men-Slim-Fit-Raw-1600496466793.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX10I9UtIe5raUcnz096IrgAYjDA-cgjJDp7spiAg0JzG8DT3pXVh1gHVWlTfHwWSYB,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D016,denim,"Guangzhou Shanlai Industrial Co., Ltd.",,China,Alibaba,https://vow.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/denim-jeans-manufacturer-new-fashion-street-1600154631291.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1XX-XXzpxHx3m1IVXA7QbS_mFsfBcRYyKnSaKZciIqmZr9DpVmEaGL6t-cj6fIrq9,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D017,denim,"Guangzhou Ruifeng Import And Export Trade Co., Ltd.",,China,Alibaba,https://edgedenim.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Edge-Denim-Jeans-Manufacturer-Custom-Designer-1601393262584.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1XG6z_ifdvQf6Hp47t0sGeLw8edKh2gdX934t7pcY6JU5aiSL0efzPKHa5GC7vM8I,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D018,denim,"Jiangxi Zhuoshuo Garment Co., Ltd.",,China,Alibaba,https://cn1529175314xwas.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Factory-Direct-Sale-Stack-Sweet-Wear-1601458854262.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX14_sGG8zMCTZ18x2V3Kkw-Ks3sNo30QnKSrESwJBe5NJ7Y5KT3iy8-2aTO5lgzdfA,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D019,denim,Guangzhou Bluedot Garment Company Limited,,China,Alibaba,https://gzlandian.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Blue-Team-Custom-denim-jeans-manufacture-1600649854701.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1V_zuQyYPo5owfRsF6vZ1ixxp_caQIWvmmwqTfRXRvLQ8dLLoiNSIZOXT5N0VLRev,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D020,denim,"Dongguan Linzhixiu Garment Co., Ltd.",,China,Alibaba,https://lingzhixiu.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Men-s-Acid-Washed-Oversized-1601417074813.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX11lmtpsjvJnvzR6DSnK-E47wz1ber0S5LGJJOfphyYhpAHMQ_B3LtqkH39fOBIPck,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D021,denim,"Xiamen Sunrise Trading Co., Ltd.",,China,Alibaba,https://castershub.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/2024-Factory-Direct-sale-stack-jeans-1601273138755.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1mxPsIQtDYyybywaWAuUSbCcHFbwoeo6Fo1jXGv_2ak0us3I-FxMhkctIGxjvC88u,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D022,denim,"Zhongshan Huanqiu Textile Selection Garments Co., Ltd.",,China,Alibaba,https://zshqzx.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/American-Vintage-Red-Ear-Dark-Blue-1601687204236.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX12dMxBqMR1KxcNYui_bkBTXXqibaQmDj0xnbZ-eWL56cVrqGdBu_AT8x24f2YaWpv,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D023,denim,"Guangzhou Laite Clothing Co., Ltd.",,China,Alibaba,https://laiteclothing.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/LTD-MTR1020-Vintage-Wash-Baggy-Jeans-1601867734405.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1aVNJyfR7TgB2EGEUDiMx6gPSTzcMRjWR7Z_4A7cMnhBa_ygHte6NK50gKbO8G_Oy,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D024,denim,"Jiangxi Qingyunzhi Clothing Co., Ltd.",,China,Alibaba,https://qyz.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/High-Quality-Custom-Straight-Fit-Casual-1601361229011.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1VojHf8U1ICRc89tCIkswF7viWTVR0TWsSg58rrprkfnbVQUkK75WW2uKkMb1BqB_,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D025,denim,Dongguan Tiantian Pai Design Clothing Ltd.,,China,Alibaba,https://tiantianpaibag.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Manufacturer-Custom-Brand-Label-Street-Retro-1601664785533.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1MU9dVb5IwVSRv8lRm6sBV8GY9fQ2pXhcMPyn1d4XK2EfoMIhmNDnmj0coC8rBI-f,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
